Country,Num_Gold,Num_Silver,Num_Bronze,TotalMedals,Income,Population_Size,GDP
United States,46,29,29,104,4.8386,0.314030289,1.519466955
China,38,27,23,88,0.5413,1.340086499,0.725388822
Russia,24,26,32,82,1.2993,0.143092238,0.185919745
Great Britain,29,17,19,65,3.8891,0.062270602,0.2421766
Germany,11,19,14,44,4.3741,0.08181736,0.357877313
Japan,7,14,17,38,4.592,0.127802927,0.586871039
Australia,7,16,12,35,6.5477,0.022702827,0.148651299
France,11,11,12,34,4.2793,0.065332489,0.279577319
South Korea,13,8,7,28,2.3749,0.050023327,0.1188004
Italy,8,9,11,28,3.6267,0.060793899,0.220481234
Netherlands,6,6,8,20,5.0355,0.016852339,0.084859951
Ukraine,6,5,9,20,0.3621,0.045901117,0.016620794
Canada,1,5,12,18,5.0436,0.034900091,0.1760221
Hungary,8,4,5,17,1.405,0.010019062,0.014076782
Spain,3,10,4,17,3.236,0.04720451,0.152753795
Brazil,3,5,9,17,1.2788,0.192383243,0.246019692
Cuba,5,3,6,14,0.51,0.011240119,0.005732461
Kazakhstan,7,1,5,13,1.0694,0.01660144,0.01775358
New Zealand,6,2,5,13,3.6648,0.004430398,0.016236523
Iran,4,5,3,12,0.6359,0.07515025,0.047788044
Jamaica,4,4,4,12,0.5402,0.002887784,0.001559981
Belarus,2,5,5,12,0.5881,0.009454487,0.005560184
Kenya,2,4,5,11,0.085,0.043012443,0.003656058
Czech Rep.,4,3,3,10,2.0444,0.010564396,0.02159785
Azerbaijan,2,2,6,10,0.6832,0.009165894,0.006262139
Poland,2,2,6,10,1.354,0.038493502,0.052120201
Romania,2,5,2,9,0.8863,0.019038999,0.016874265
Denmark,2,4,3,9,5.9928,0.005542743,0.033216548
Sweden,1,4,3,8,5.6956,0.009416745,0.05363401
Colombia,1,3,4,8,0.7131,0.046316091,0.033028005
Ethiopia,3,1,3,7,0.036,0.084309069,0.003035126
Georgia,1,3,3,7,0.321,0.004470452,0.001435015
Mexico,1,3,3,7,1.0153,0.112335445,0.114054178
North Korea,4,0,2,6,0.18,0.024058526,0.004330535
South Africa,3,2,1,6,0.8066,0.048788247,0.0393526
Croatia,3,1,2,6,1.4457,0.00429087,0.00620331
India,0,2,4,6,0.1389,1.21013771,0.168088128
Turkey,2,2,1,5,1.0522,0.074700698,0.078600075
Lithuania,2,1,2,5,1.3068,0.003181935,0.004158152
Ireland,1,1,3,5,4.7513,0.004588208,0.021799951
Mongolia,0,2,3,5,0.3042,0.002755198,0.000838131
Switzerland,2,2,0,4,8.116,0.007952525,0.06454269
Norway,2,1,1,4,9.7254,0.00500526,0.04867816
Argentina,1,1,2,4,1.064,0.041284596,0.04392681
Slovenia,1,1,2,4,2.4533,0.002049282,0.005027503
Serbia Rep.,1,1,2,4,0.608,0.007124143,0.004331479
Trinidad/Tobago,1,0,3,4,1.7158,0.001226899,0.002105112
Uzbekistan,1,0,3,4,0.1572,0.029561991,0.004647145
Slovakia,0,1,3,4,1.7643,0.005443866,0.009604613
Tunisia,1,1,1,3,0.4351,0.010734785,0.004670705
Thailand,0,2,1,3,0.5394,0.066718978,0.035988217
Armenia,0,1,2,3,0.3032,0.003262486,0.000989186
Belgium,0,1,2,3,4.6878,0.011006538,0.051596448
Finland,0,1,2,3,4.9349,0.0054113,0.026704227
Dominican Rep,1,1,0,2,0.5638,0.009379153,0.005287966
Latvia,1,0,1,2,1.2671,0.002217742,0.002810101
