
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
1,Afghanistan,1936,2012,100,7,,,2,2,,,,,,,,
2,Albania,1972,2012,39,7,,,,,2006,2014,2,1,,,,
3,Algeria,1964,2012,314,19,5,2,8,15,1992,2010,7,2,,,,
4,American Samoa,1988,2012,23,8,,,,,1994,1994,2,1,,,,
5,Andorra,1976,2012,29,8,,,,,1976,2014,28,4,,,,
6,Angola,1980,2012,148,10,,,,,,,,,,,,
7,Antigua and Barbuda,1976,2012,63,6,,,,,,,,,,,,
8,Argentina,1900,2012,1566,32,18,24,28,70,1928,2014,136,8,,,,
9,Armenia,1996,2012,93,13,1,2,9,12,1994,2014,28,5,,,,
10,Aruba,1988,2012,26,9,,,,,,,,,,,,
11,Australasia,1908,1912,53,8,3,4,5,12,,,,,,,,
12,Australia,1896,2012,3309,35,138,156,181,475,1924,2014,240,14,5,3,4,12
13,Austria,1896,2012,1440,31,25,40,41,106,1924,2014,859,14,59,78,81,218
14,Azerbaijan,1996,2012,143,16,6,5,15,26,1998,2014,13,2,,,,
15,Bahamas,1952,2012,147,8,5,2,5,12,,,,,,,,
16,Bahrain,1984,2012,59,7,,,1,1,,,,,,,,
17,Bangladesh,1984,2012,32,5,,,,,,,,,,,,
18,Barbados,1968,2012,106,11,,,1,1,,,,,,,,
19,Belarus,1996,2012,537,25,12,24,39,75,1994,2014,160,10,6,4,5,15
20,Belgium,1900,2012,1907,35,42,56,60,158,1924,2014,124,8,1,1,3,5
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
21,Belize,1968,2012,49,7,,,,,,,,,,,,
22,Benin,1972,2012,48,7,,,,,,,,,,,,
23,Bermuda,1936,2012,112,10,,,1,1,1992,2014,3,3,,,,
24,Bhutan,1984,2012,19,2,,,,,,,,,,,,
25,Bohemia,1900,1912,66,9,,1,5,6,,,,,,,,
26,Bolivia,1936,2012,66,15,,,,,1956,1992,13,1,,,,
27,Bosnia and Herzegovina,1992,2012,37,10,,,,,1994,2014,28,5,,,,
28,Botswana,1980,2012,52,4,,1,,1,,,,,,,,
29,Brazil,1900,2012,1712,30,23,30,55,108,1992,2014,32,8,,,,
30,British Virgin Islands,1984,2012,23,2,,,,,1984,2014,2,2,,,,
31,Brunei,1996,2012,6,3,,,,,,,,,,,,
32,Bulgaria,1924,2012,1288,29,51,85,78,214,1936,2014,180,11,1,2,3,6
33,Burkina Faso,1972,2012,29,5,,,,,,,,,,,,
34,Burundi,1996,2012,20,3,1,,,1,,,,,,,,
35,Cambodia,1964,2012,38,8,,,,,,,,,,,,
36,Cameroon,1964,2012,207,10,3,1,1,5,2002,2002,1,1,,,,
37,Canada,1900,2012,3329,38,60,101,121,282,1924,2014,1279,15,62,56,52,170
38,Cape Verde,1996,2012,9,4,,,,,,,,,,,,
39,Cayman Islands,1976,2012,35,4,,,,,2010,2014,1,1,,,,
40,Central African Republic,1968,2012,47,9,,,,,,,,,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
41,Chad,1964,2012,25,3,,,,,,,,,,,,
42,Chile,1912,2012,448,24,2,7,4,13,1948,2014,50,4,,,,
43,China,1932,2012,2081,35,201,144,128,473,1980,2014,311,11,12,22,19,53
44,Chinese Taipei,1956,2012,486,23,2,7,12,21,1972,2014,44,8,,,,
45,Colombia,1900,2012,523,22,2,6,11,19,2010,2010,1,1,,,,
46,Comoros,1996,2012,12,3,,,,,,,,,,,,
47,Congo (Brazzaville),1964,2012,66,7,,,,,,,,,,,,
48,Congo (Kinshasa),1968,2012,65,7,,,,,,,,,,,,
49,Cook Islands,1988,2012,24,6,,,,,,,,,,,,
50,Costa Rica,1936,2012,143,15,1,1,2,4,1980,2006,7,3,,,,
51,Cote d'Ivoire,1964,2012,116,11,,1,,1,,,,,,,,
52,Crete,1906,1906,8,2,,,,,,,,,,,,
53,Croatia,1992,2012,335,21,6,7,10,23,1992,2014,51,7,4,6,1,11
54,Cuba,1900,2012,1206,29,71,65,66,202,,,,,,,,
55,Cyprus,1980,2012,97,11,,1,,1,1980,2014,14,1,,,,
56,Czech Republic,1996,2012,429,27,14,15,15,44,1994,2014,267,14,7,9,8,24
57,Czechoslovakia,1920,1992,1620,30,49,50,47,146,1924,1992,480,11,2,8,15,25
58,Denmark,1896,2012,1792,29,46,74,73,193,1948,2014,58,8,,1,,1
59,Djibouti,1984,2012,22,5,,,1,1,,,,,,,,
60,Dominica,1996,2012,14,2,,,,,2014,2014,1,1,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
61,Dominican Republic,1964,2012,188,16,3,2,1,6,,,,,,,,
62,East Germany,1968,1988,1129,21,153,129,127,409,1968,1988,232,10,39,36,35,110
63,Ecuador,1924,2012,139,17,1,1,,2,,,,,,,,
64,Egypt,1906,2012,907,29,7,8,9,24,1984,1984,1,1,,,,
65,El Salvador,1932,2012,119,14,,,,,,,,,,,,
66,Equatorial Guinea,1984,2012,26,3,,,,,,,,,,,,
67,Eritrea,2000,2012,20,2,,,1,1,,,,,,,,
68,Estonia,1920,2012,234,22,9,9,15,33,1928,2014,94,8,4,2,1,7
69,Ethiopia,1956,2012,206,4,21,7,17,45,2006,2010,1,1,,,,
70,Federated States of Micronesia,2000,2012,14,4,,,,,,,,,,,,
71,Fiji,1956,2012,79,9,,,,,1988,2002,2,2,,,,
72,Finland,1906,2012,1594,27,106,86,119,311,1924,2014,723,12,42,62,57,161
73,France,1896,2012,5095,42,222,234,271,727,1924,2014,823,16,31,31,47,109
74,Gabon,1972,2012,45,5,,1,,1,,,,,,,,
75,Gambia,1984,2012,29,3,,,,,,,,,,,,
76,Georgia,1996,2012,124,18,6,5,14,25,1994,2014,15,4,,,,
77,Germany,1896,2012,3707,38,213,248,267,728,1928,2014,891,15,86,84,58,228
78,Ghana,1952,2012,231,6,,1,3,4,2010,2010,1,1,,,,
79,Great Britain,1896,2012,5447,43,245,290,276,811,1924,2014,642,16,10,4,12,26
80,Greece,1896,2012,1593,36,39,56,52,147,1936,2014,66,8,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
81,Grenada,1984,2012,40,4,1,,,1,,,,,,,,
82,Guam,1988,2012,62,10,,,,,1988,1988,1,1,,,,
83,Guatemala,1932,2012,222,19,,1,,1,1988,1988,6,2,,,,
84,Guinea,1968,2012,55,7,,,,,,,,,,,,
85,Guinea Bissau,1996,2012,12,2,,,,,,,,,,,,
86,Guyana,1948,2012,70,6,,,1,1,,,,,,,,
87,Haiti,1900,2012,67,11,,1,1,2,,,,,,,,
88,Honduras,1968,2012,113,12,,,,,1992,1992,1,1,,,,
89,Hong Kong,1952,2012,292,19,1,1,1,3,2002,2014,4,1,,,,
90,Hungary,1896,2012,2495,32,170,151,169,490,1924,2014,206,10,,2,4,6
91,Iceland,1908,2012,220,12,,2,2,4,1948,2014,75,3,,,,
92,India,1900,2012,791,22,9,6,11,26,1924,2014,21,4,,,,
93,Individual Olympic Athletes,1992,2012,66,16,,1,2,3,2014,2014,1,1,,,,
94,Indonesia,1952,2012,257,20,6,10,11,27,,,,,,,,
95,Iran,1900,2012,463,21,15,20,25,60,1956,2014,24,2,,,,
96,Iraq,1948,2012,174,14,,,1,1,,,,,,,,
97,Ireland,1924,2012,716,24,9,9,13,31,1992,2014,27,5,,,,
98,Israel,1952,2012,306,21,1,1,5,7,1994,2014,13,3,,,,
99,Italy,1896,2012,3818,35,211,177,189,577,1924,2014,938,16,37,34,43,114
100,Jamaica,1948,2012,320,13,17,30,20,67,1988,2014,11,2,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
101,Japan,1912,2012,3035,35,130,126,144,400,1928,2014,800,15,10,17,18,45
102,Jordan,1980,2012,55,10,,,,,,,,,,,,
103,Kazakhstan,1996,2012,433,24,16,17,19,52,1994,2014,192,11,1,3,3,7
104,Kenya,1956,2012,452,14,25,32,29,86,1998,2006,1,1,,,,
105,Kiribati,2004,2012,7,2,,,,,,,,,,,,
106,Kuwait,1968,2012,192,13,,,2,2,,,,,,,,
107,Kyrgyzstan,1996,2012,110,13,,1,2,3,1994,2014,7,4,,,,
108,Laos,1980,2012,43,5,,,,,,,,,,,,
109,Latvia,1924,2012,239,20,3,11,5,19,1924,2014,194,12,,4,3,7
110,Lebanon,1948,2012,140,13,,2,2,4,1948,2014,31,3,,,,
111,Lesotho,1972,2012,45,4,,,,,,,,,,,,
112,Liberia,1956,2012,40,2,,,,,,,,,,,,
113,Libya,1968,2012,61,8,,,,,,,,,,,,
114,Liechtenstein,1936,2012,51,8,,,,,1936,2014,80,4,2,2,5,9
115,Lithuania,1924,2012,257,18,6,5,10,21,1928,2014,26,6,,,,
116,Luxembourg,1900,2012,363,19,4,2,,6,1928,2014,12,4,,2,,2
117,Macedonia,1996,2012,32,5,,,1,1,1998,2014,10,2,,,,
118,Madagascar,1964,2012,72,8,,,,,2006,2006,1,1,,,,
119,Malawi,1972,2012,54,4,,,,,,,,,,,,
120,Malaya,1956,1960,40,5,,,,,,,,,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
